single_P_req_MW,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
28.25,True,Optimal,5681.453279975,5101.453279975,580.0,5681.453279975,4,DG1+DG2+DG3+DG4,4.199999999999999,1,7.5600000000000005,1,8.93,1,5.88,1,5.88
28.5,True,Optimal,5725.848044349999,5145.848044349999,580.0,5725.848044349999,4,DG1+DG2+DG3+DG4,3.9499999999999993,1,9.18,1,7.560000000000001,1,5.88,1,5.88
28.75,True,Optimal,5770.242808725001,5190.242808725001,580.0,5770.242808725001,4,DG1+DG2+DG3+DG4,3.6999999999999993,1,9.18,1,7.810000000000001,1,5.88,1,5.88
29.0,True,Optimal,5814.637573100001,5234.637573100001,580.0,5814.637573100001,4,DG1+DG2+DG3+DG4,3.4499999999999993,1,9.18,1,8.060000000000002,1,5.88,1,5.88
29.25,True,Optimal,5859.0323374750005,5279.0323374750005,580.0,5859.0323374750005,4,DG1+DG2+DG3+DG4,3.1999999999999993,1,9.18,1,8.310000000000002,1,5.88,1,5.88
29.5,True,Optimal,5903.427101850001,5323.427101850001,580.0,5903.427101850001,4,DG1+DG2+DG3+DG4,2.9499999999999993,1,9.18,1,8.560000000000002,1,5.88,1,5.88
29.75,True,Optimal,5947.821866225001,5367.821866225001,580.0,5947.821866225001,4,DG1+DG2+DG3+DG4,2.6999999999999993,1,9.18,1,8.810000000000002,1,5.88,1,5.88
30.0,True,Optimal,5992.216630600001,5412.216630600001,580.0,5992.216630600001,4,DG1+DG2+DG3+DG4,2.4499999999999993,1,9.18,1,9.060000000000002,1,5.88,1,5.88
30.25,True,Optimal,6036.611394975001,5456.611394975001,580.0,6036.611394975001,4,DG1+DG2+DG3+DG4,2.1999999999999993,1,9.18,1,9.18,1,5.88,1,6.010000000000001
30.5,True,Optimal,6081.00615935,5501.00615935,580.0,6081.00615935,4,DG1+DG2+DG3+DG4,1.9499999999999993,1,9.18,1,9.18,1,5.88,1,6.260000000000001
30.75,True,Optimal,6125.400923725,5545.400923725,580.0,6125.400923725,4,DG1+DG2+DG3+DG4,1.6999999999999993,1,9.18,1,9.18,1,5.88,1,6.510000000000001
31.0,True,Optimal,6169.795688100001,5589.795688100001,580.0,6169.795688100001,4,DG1+DG2+DG3+DG4,1.4499999999999993,1,9.18,1,9.18,1,5.88,1,6.760000000000001
31.25,True,Optimal,6214.190452475001,5634.190452475001,580.0,6214.190452475001,4,DG1+DG2+DG3+DG4,1.1999999999999993,1,9.18,1,9.18,1,5.88,1,7.010000000000001
31.5,True,Optimal,6258.58521685,5678.58521685,580.0,6258.58521685,4,DG1+DG2+DG3+DG4,0.9499999999999993,1,9.18,1,9.18,1,7.14,1,6.000000000000001
31.75,True,Optimal,6302.979981225,5722.979981225,580.0,6302.979981225,4,DG1+DG2+DG3+DG4,0.6999999999999993,1,9.18,1,9.18,1,7.14,1,6.250000000000001
32.0,True,Optimal,6347.374745599999,5767.374745599999,580.0,6347.374745599999,4,DG1+DG2+DG3+DG4,0.45000000000000284,1,9.18,1,8.54,1,7.14,1,7.14
32.25,True,Optimal,6391.769509974999,5811.769509974999,580.0,6391.769509974999,4,DG1+DG2+DG3+DG4,0.20000000000000284,1,9.18,1,8.79,1,7.14,1,7.14
32.5,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
32.75,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
33.0,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
33.25,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
33.5,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
33.75,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
34.0,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
34.25,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
34.5,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
34.75,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
35.0,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
35.25,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
35.5,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
35.75,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
36.0,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
36.25,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
36.5,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
36.75,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
37.0,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
37.25,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
37.5,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
37.75,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
38.0,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
38.25,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
38.5,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
38.75,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
39.0,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
39.25,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
39.5,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
39.75,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
40.0,False,Infeasible,,,,,,INFEASIBLE,,,,,,,,,
